"Sample Name"	"Protocol REF"	"Protocol REF"	"Protocol REF"	"Derived Spectral Data File"	"Protocol REF"	"Derived Data File"
"MP112_PO_Lip_3_1"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/pos//Batch 1/MP112_LipMS1p_11072022_045_PO_3_1_P1-E-4_1_9881.mzML"	""	""
"MP112_180"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/pos//Batch 1/MP112_LipMS1p_11072022_046_180_1_1_P1-E-5_1_9882.mzML"	""	"datatable_LIP.xlsx"
"MP112_159"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/pos//Batch 1/MP112_LipMS1p_11072022_047_159_1_1_P1-E-6_1_9883.mzML"	""	"datatable_LIP.xlsx"
"MP112_47"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/pos//Batch 1/MP112_LipMS1p_11072022_048_47_1_1_P1-E-7_1_9884.mzML"	""	"datatable_LIP.xlsx"
"MP112_22"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/pos//Batch 1/MP112_LipMS1p_11072022_049_22_1_1_P1-E-8_1_9885.mzML"	""	"datatable_LIP.xlsx"
"MP112_sol_Lip_1_14"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/pos//Batch 2/MP112_LipMS1p_11072022_154_sol_1_14_P3-A-1_1_9990.mzML"	""	""
"MP112_BL_Lip_11_1"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/pos//Batch 2/MP112_LipMS1p_11072022_155_BL_11_1_P3-D-9_1_9991.mzML"	""	""
"MP112_CP_Lip_11_1"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/pos//Batch 2/MP112_LipMS1p_11072022_156_CP_11_1_P3-E-1_1_9992.mzML"	""	""
"MP112_PO_Lip_11_1"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/pos//Batch 2/MP112_LipMS1p_11072022_157_PO_11_1_P3-E-2_1_9993.mzML"	""	""
"MP112_123"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/pos//Batch 2/MP112_LipMS1p_11072022_158_123_1_1_P3-E-3_1_9994.mzML"	""	"datatable_LIP.xlsx"
"MP112_104"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/pos//Batch 2/MP112_LipMS1p_11072022_159_104_1_1_P3-E-4_1_9995.mzML"	""	"datatable_LIP.xlsx"
"MP112_172"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/pos//Batch 2/MP112_LipMS1p_11072022_160_172_1_1_P3-E-5_1_9996.mzML"	""	"datatable_LIP.xlsx"
"MP112_sol_Lip_1_15"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/pos//Batch 2/MP112_LipMS1p_11072022_168_sol_1_15_P3-A-1_1_10004.mzML"	""	""
"MP112_BL_Lip_12_1"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/pos//Batch 2/MP112_LipMS1p_11072022_169_BL_12_1_P3-F-4_1_10005.mzML"	""	""
"MP112_CP_Lip_12_1"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/pos//Batch 2/MP112_LipMS1p_11072022_170_CP_12_1_P3-F-5_1_10006.mzML"	""	""
"MP112_PO_Lip_12_1"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/pos//Batch 2/MP112_LipMS1p_11072022_171_PO_12_1_P3-F-6_1_10007.mzML"	""	""
"MP112_147"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/pos//Batch 2/MP112_LipMS1p_11072022_172_147_1_1_P3-F-7_1_10008.mzML"	""	"datatable_LIP.xlsx"
"MP112_87"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/pos//Batch 2/MP112_LipMS1p_11072022_173_87_1_1_P3-F-8_1_10009.mzML"	""	""
"MP112_72"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/pos//Batch 2/MP112_LipMS1p_11072022_174_72_1_1_P3-F-9_1_10010.mzML"	""	"datatable_LIP.xlsx"
"MP112_sol_Lip_1_16"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/pos//Batch 2/MP112_LipMS1p_11072022_182_sol_1_16_P4-A-1_1_10018.mzML"	""	""
"MP112_BL_Lip_13_1"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/pos//Batch 2/MP112_LipMS1p_11072022_183_BL_13_1_P4-A-9_1_10019.mzML"	""	""
"MP112_CP_Lip_13_1"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/pos//Batch 2/MP112_LipMS1p_11072022_184_CP_13_1_P4-B-1_1_10020.mzML"	""	""
"MP112_PO_Lip_13_1"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/pos//Batch 2/MP112_LipMS1p_11072022_185_PO_13_1_P4-B-2_1_10021.mzML"	""	""
"MP112_57"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/pos//Batch 2/MP112_LipMS1p_11072022_186_57_1_1_P4-B-3_1_10022.mzML"	""	"datatable_LIP.xlsx"
"MP112_64"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/pos//Batch 2/MP112_LipMS1p_11072022_187_64_1_1_P4-B-4_1_10023.mzML"	""	"datatable_LIP.xlsx"
"MP112_4"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/pos//Batch 2/MP112_LipMS1p_11072022_188_4_1_1_P4-B-5_1_10024.mzML"	""	"datatable_LIP.xlsx"
"MP112_149"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/pos//Batch 2/MP112_LipMS1p_11072022_189_149_1_1_P4-B-6_1_10025.mzML"	""	"datatable_LIP.xlsx"
